cartodb_id,upo___codigo_color,upo___id,upo___id_ca,upo___nombre,upo___nombre_ca,upo___nombre_partido,upo___porciento_escrutado,upo___tipo,upo___ts,created_at,updated_at,the_geom
1,i,0,"",Total España,"",PSOE,99.99,1,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
4,i,3,"",Asturias,"",PSOE,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
5,i,4,"",Baleares,"",PSOE,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
7,d,6,"",Cantabria,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
8,d,7,"",Castilla La Mancha,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
9,d,8,"",Castilla y León,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
10,i,9,"",Cataluña,"",PSC-PSOE,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
11,i,10,"",Extremadura,"",PSOE,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
12,d,11,"",Galicia,"",PP,99.97,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
13,d,12,"",Madrid,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
14,o,13,"",Navarra,"",UPN-PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
15,i,14,"",País Vasco,"",PSE-EE (PSOE),100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
16,d,15,"",Murcia,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
17,d,16,"",La Rioja,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
18,d,17,"",C. Valenciana,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
19,d,18,"",Ceuta,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
20,d,19,"",Melilla,"",PP,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
21,d,4,1,Almería,Andalucía,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
22,i,11,1,Cádiz,Andalucía,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
