id,province_id,name,xmin_,ymin_,xmax_,ymax_
1,4,Abla,5188096679,41047798974,5230218172,41223022521
2,4,Abrucena,5092796698,41038604343,5205959774,41215083957
3,4,Adra,4875869066,40660436038,5063305671,40756509320
4,4,Albanchez,5709359792,41234485575,5782616224,41309924220
5,4,Alboloduy,5256262037,40972552483,5408008782,41076530540
6,4,Albox,5694573767,41349116520,5836579346,41560661986
7,4,Alcolea,4936706953,40822608817,5056843992,40951312088
8,4,Alcóntar,5295302743,41205268470,5379846422,41409033197
9,4,Alcudia de Monteagudo,5639011624,41179400997,5683325238,41255242416
10,4,Alhabia,5359681134,40919593829,5413861592,40970672824
11,4,Alhama de Almería,5347128996,40849608019,5413187654,40930235313
12,4,Alicún,5340525986,40867728972,5366215691,40926560293
900,4,Almería,5406672601,40656091301,5711905824,40953834028
14,4,Almócita,5152932130,40858567855,5200799822,40961649926
15,4,Alsodux,5264830134,40945008107,5416039886,41032532600
16,4,Antas,5850814680,41166354575,5989196682,41294649137
17,4,Arboleas,5767202503,41269896889,5860298942,41444658888
18,4,Armuña de Almanzora,5495999549,41323532684,5537852358,41365745117
19,4,Bacares,5386758875,41183257735,5529639633,41281867900
20,4,Bayárcal,4974522964,40942766402,5033025345,41080123385
21,4,Bayarque,5459403416,41271121350,5523983703,41331483715
22,4,Bédar,5854197808,41087572649,5933730116,41205923309
23,4,Beires,5132765372,40934400870,5205814329,41043392572
24,4,Benahadux,5427188443,40836735214,5496330018,40886404190
26,4,Benitagla,5672123611,41199022497,5710228255,41234567722
27,4,Benizalón,5659742101,41127432965,5750886173,41217879067
28,4,Bentarique,5267945903,40855900559,5347864519,40968494918
29,4,Berja,4935181058,40665945776,5137672905,40862598206
30,4,Canjáyar,5197386522,40830928795,5269956003,41042946855
31,4,Cantoria,5663282053,41264084447,5794402953,41380791918
32,4,Carboneras,5873246425,40882276112,6013659570,41016084262
33,4,Castro de Filabres,5445355368,41095040316,5515748029,41194127697
36,4,Chercos,5623368135,41220402280,5668525581,41269494566
37,4,Chirivel,5539268820,41549271983,5749327968,41700843233
34,4,Cóbdar,5673605319,41192267922,5768199730,41263467789
35,4,Cuevas del Almanzora,5932056095,41209758084,6162437566,41426064603
38,4,Dalías,5081264677,40702205557,5249290255,40866280085
104,4,Ejido,5083971164,40596255583,5307243357,40753739382
41,4,Enix,5275903551,40748717504,5424496086,40863959599
43,4,Felix,5201423536,40749776231,5330174095,40866665342
44,4,Fines,5624216908,41310510176,5673557590,41411140448
45,4,Fiñana,5045507048,41048305586,5201156634,41261836312
46,4,Fondón,5080549787,40841073952,5167629990,41042983384
47,4,Gádor,5381318478,40800045468,5495292939,41019104788
48,4,Gallardos,5871729674,41092062209,5977461835,41182047120
49,4,Garrucha,6024135043,41142283558,6052900640,41188555486
50,4,Gérgal,5303137042,40996103579,5497042313,41230717997
