"URL",,,,
"http://twitter.com/vzlaturistica/statuses/23424668752936961","vzlaturistica "," Venezuela ",211,
"http://twitter.com/CarlsTrendy/statuses/23461167175307264","CarlsTrendy "," Mexico Veracruz ",140,
"http://twitter.com/imperialtravel1/statuses/23741658398990336","imperialtravel1 "," Medellin Colombia ",51,
"http://twitter.com/wfsanhueza/statuses/24442490811588608","wfsanhueza "," Concepción ",466,
"http://twitter.com/AndyPerez7/statuses/24262374739410944","AndyPerez7 "," Ccs, Venezuela ",226,
"http://twitter.com/AndyPerez7/statuses/24266621946171392","AndyPerez7 "," Ccs, Venezuela ",226,
"http://twitter.com/joseppique/statuses/24515380554760193","joseppique "," En navegación... ",245,
"http://twitter.com/Leojaran/statuses/24399634197647360","Leojaran "," Jarandilla "," España ",80
"http://twitter.com/Leojaran/statuses/24399767484235776","Leojaran "," Jarandilla "," España ",80
"http://twitter.com/MariijoPerez/status/24258427874189312","MariijoPerez ","  ",440,
"http://twitter.com/MariijoPerez/statuses/24265107672408064","MariijoPerez ","  ",440,
"http://twitter.com/miljef/statuses/24557611617619968","miljef "," El Salvador ",684,
"http://twitter.com/CrtGestion/statuses/24409937270538240 ","CrtGestion "," Gavá (Barcelona) ",106,
"http://twitter.com/tipsdeviajero/statuses/24831239739412481","tipsdeviajero "," Hoy aquí, mañana quien sabe. ",7889,
"http://twitter.com/tipsdeviajero/statuses/24832500744331264","tipsdeviajero "," Hoy aquí, mañana quien sabe. ",7889,
"http://twitter.com/yolioli86/statuses/25241353499709441","yolioli86 "," EN ALGÙN LUGAR ILUMINADO ",15,
"http://twitter.com/PAUPOPPINS/statuses/25048556314304514","PAUPOPPINS "," ÜT: 17.945655,","93.139395 ",1132
"http://twitter.com/PCBONLINE/statuses/25012196660482049","PCBONLINE "," PUNTA CANA"," BAVARO ",88
"http://twitter.com/sherezade102/statuses/24966241395412993","sherezade102 "," Una Maña en Mexico City ",451,
"http://twitter.com/ana_guillermina/statuses/25392602345906176","ana_guillermina ","  ",311,
"http://twitter.com/Nikoidarraga/statuses/25428020890177536","Nikoidarraga "," Ibague, Colombia  ",61,
"http://twitter.com/xyotravel/status/25595821231710209","xyotravel "," Spain ",301,
"http://twitter.com/miljef/status/25994492964241411","miljef "," El Salvador ",684,
"http://twitter.com/SePortada/statuses/27007931144740864","SePortada ","  ",72,
"http://twitter.com/VENTURA2B/statuses/27072154306609152","VENTURA2B "," INTERNET ",22,
"http://twitter.com/apiacapulcoport/status/27001384259813376","apiacapulcoport "," Acapulco, Gro., México ",1074,
"http://twitter.com/RENTAESCAPE/statuses/27498849652178944","RENTAESCAPE "," INTERNET ",193,
