206,1,5,42.02535,-93.6202
206,2,5,30.05339,-94.74227
206,3,5,36.24605,-98.18511
206,4,5,42.83659,-74.59919
206,5,5,41.45263,-96.62508
887,1,1,10.35855,106.35897
1760,1,1,44.46301,39.72893
2012,1,1,44.6720581,-73.792572
2163,1,1,25.5706,-108.47102
2225,1,1,15.7434,-96.46694
2633,1,1,30.94496,117.81258
2985,1,1,31.25582,113.68918
3232,1,1,42.73321,143.59012
3327,1,1,7.45498,-2.58425
3602,1,1,61.48596,21.79537
3666,1,4,30.9944096,50.0435715
3666,2,4,30.1367893,52.5212402
3666,3,4,30.4089508,57.7633095
3666,4,4,38.1983109,44.7774811
4081,1,1,50.90787,34.79759
4167,1,1,-2.52138,-45.0832
4400,1,1,53.40095,-117.57697
4509,1,1,62.20523,-75.64252
5005,1,1,53.13963,26.02236
5098,1,1,-33.71181,150.31056
5217,1,1,-40.85546,145.12035
5319,1,1,5.82031,-55.16542
5487,1,1,37.2187881,-5.3498902
5498,1,1,17.0926609,7.5755601
5693,1,1,56.85238,35.93375
5826,1,2,19.35842,-98.95862
5826,2,2,24.15464,-110.31023
5886,1,2,34.5083313,126.3166122
5886,2,2,36.2474098,128.2595367
5997,1,1,31.95181,35.94042
6397,1,1,4.9360099,-1.72823
6532,1,1,35.4687309,44.3895187
6604,1,1,38.0797081,46.3001518
6841,1,2,64.06332,-139.43439
6841,2,2,48.72225,-94.48446
6870,1,1,45.96063,-66.63911
6927,1,1,-31.63666,-60.712
7129,1,1,-33.03351,137.58416
7176,1,1,20.13819,92.88672
7313,1,1,63.4606133,142.786026
